DATE,2016/4/10,22:58,,,,,,,,,,,,,,,
Operator,2962106,Lot No.,6.00E+11,Kind name,POR_SL2,Inspection No.,1,,,,,,,,,,
Chip No.,Chip ID,bump No.,Core No.,SRO,bump group,CAD X,CAD Y,X coordinate,Y coordinate,alignment,total height,plane height,bump height,bump coplanarity,bump caw,bump diameter,Judge
7,A019,62,1,0,1,441.55,-3422.37,-39553.43,36580,2.86,87.31,46.14,41.17,-0.03,0.18,43.86,OK  
7,A019,63,1,0,1,441.55,-3569.26,-39552.55,36432.31,6.26,87.07,45.84,41.23,-0.33,-0.15,50.39,OK  
7,A019,64,1,0,1,447.34,205,-39551.84,40202.59,3.18,83.82,43.87,39.96,-1.98,-1.1,48.04,OK  
7,A019,65,1,0,2,447.34,74.24,-39551.04,40070.44,2.45,86.81,44.16,42.65,0.95,-0.84,45.58,OK  
7,A019,66,1,0,2,433.88,-89.18,-39565.61,39907.1,2.81,86.74,44.83,41.91,0.75,-0.28,49.62,OK  
7,A019,67,1,0,2,433.88,-219.91,-39564.82,39774.95,1.72,86.07,45.03,41.04,0.02,-0.11,51.15,OK  
7,A019,68,1,0,2,433.88,-350.67,-39564.03,39642.8,3.52,86.27,45.1,41.17,0.17,-0.08,48.04,OK  
7,A019,69,1,0,2,433.88,-481.41,-39563.28,39518.43,3.25,85.85,45.38,40.48,-0.3,0.17,43.86,OK  
7,A019,70,1,0,2,433.88,-612.14,-39562.49,39386.28,3.89,87.7,45.54,42.16,1.5,0.31,43.86,OK  
7,A019,71,1,0,2,433.88,-742.9,-39561.7,39254.13,4.23,87.64,45.5,42.13,1.38,0.23,41.14,OK  
7,A019,72,1,0,2,433.88,-873.63,-39568.72,39129.71,1.54,84.14,45.65,38.49,-2.2,0.31,48.04,OK  
7,A019,73,1,0,2,433.88,-1004.37,-39560.16,38997.6,2.64,86.82,45.93,40.89,0.47,0.6,43.86,OK  
7,A019,74,1,0,2,433.88,-1135.13,-39559.32,38857.68,6.75,87.1,45.91,41.19,0.69,0.55,48.04,OK  
7,A019,75,1,0,2,433.88,-1265.86,-39566.35,38733.26,4.14,85.32,45.69,39.63,-1.18,0.26,49.62,OK  
7,A019,76,1,0,2,433.88,-1396.59,-39565.6,38608.88,1.79,86.22,45.71,40.51,-0.33,0.25,47.24,OK  
7,A019,77,1,0,2,433.88,-1527.35,-39564.76,38468.96,2.63,88.38,45.94,42.44,1.78,0.45,42.97,OK  
7,A019,78,1,0,2,433.88,-1658.09,-39563.97,38336.81,6.7,86.14,46.09,40.05,-0.51,0.56,42.97,OK  
7,A019,79,1,0,2,433.88,-1788.82,-39563.22,38212.43,3.98,86.22,46.12,40.1,-0.48,0.56,43.86,OK  
7,A019,80,1,0,2,433.88,-1919.58,-39562.43,38080.29,4.28,87.4,46.22,41.18,0.65,0.63,46.41,OK  
7,A019,81,1,0,2,433.88,-2050.31,-39561.64,37948.14,3.92,85.91,46.41,39.5,-0.89,0.79,45.58,OK  
7,A019,82,1,0,2,433.88,-2181.05,-39568.62,37815.94,2.4,87.69,46.57,41.12,0.79,0.87,47.24,OK  
7,A019,83,1,0,2,433.88,-2311.81,-39567.83,37683.79,2.66,88.97,46.64,42.32,2.03,0.92,44.73,OK  
7,A019,84,1,0,2,433.88,-2442.54,-39567.08,37559.41,1.5,86.09,46.71,39.38,-0.91,0.95,43.86,OK  
7,A019,85,1,0,2,433.88,-2573.27,-39566.24,37419.49,8.24,86.22,47.08,39.14,-0.83,1.29,54.07,OK  
7,A019,86,1,0,2,433.88,-2704.03,-39565.5,37295.12,4.27,89.92,47.27,42.65,2.82,1.45,43.86,OK  
7,A019,87,1,0,2,433.88,-2834.77,-39564.7,37162.97,4.36,88.42,47.36,41.06,1.28,1.51,40.2,OK  
7,A019,88,1,0,2,433.88,-2965.5,-39563.91,37030.82,1.76,89.35,47.13,42.22,2.15,1.25,48.04,OK  
7,A019,89,1,0,2,433.88,-3096.26,-39563.17,36906.44,2.35,90.06,46.85,43.21,2.82,0.94,42.97,OK  
7,A019,90,1,0,1,433.88,-3226.99,-39562.33,36766.52,5.62,89.94,46.46,43.48,2.64,0.51,48.84,OK  
7,A019,91,1,0,1,459.23,4778.76,-39540.38,44773.63,1.14,82.89,42.15,40.73,-0.94,-1.52,51.15,OK  
7,A019,92,1,0,2,459.23,4648.02,-39539.63,44649.26,1.91,86.53,43.06,43.47,2.65,-0.64,47.24,OK  
7,A019,93,1,0,2,459.23,4517.29,-39538.84,44517.11,1.55,82.89,43.65,39.24,-1.04,-0.09,47.24,OK  
7,A019,94,1,0,2,459.23,4386.53,-39538.05,44384.96,1.76,83.49,43.84,39.64,-0.5,0.08,53.36,OK  
7,A019,95,1,0,1,459.23,4255.8,-39537.25,44252.81,1.91,84.42,44,40.42,0.39,0.2,46.41,OK  
7,A019,96,1,0,1,459.23,4125.06,-39544.24,44120.61,0.86,86.18,44.21,41.97,2.06,0.34,48.84,OK  
7,A019,97,1,0,2,459.23,3994.3,-39535.67,43988.51,4.98,84.7,44.18,40.53,0.57,0.31,51.15,OK  
