BB-B1-B1-01
BB-B1-B1-01
X,Y,COMP,B,F1-1,F1-2,F1-3,F2,F3,IR,F4,IV,W1,W2,C,W
20,1,20001,82,2.2093,2.9852,2.1795,2.3974,2.4804,0.0021,2.8859,106.1856,0.2738,0.246,3,447.3706
21,1,21001,82,2.2293,2.9905,2.2012,2.4045,2.485,0.0171,2.8923,106.0285,0.2728,0.246,3,446.873
22,1,22001,82,2.2183,2.9793,2.19,2.3957,2.4799,0.0161,2.8827,104.7443,0.2736,0.2483,2,447.2547
23,1,23001,82,2.2262,3.0157,2.1952,2.4039,2.4847,0.0043,2.9048,105.406,0.2747,0.2453,3,446.7776
24,1,24001,38,2.2518,3.2003,2.2144,2.4034,2.4807,0.0113,3.0506,108.2347,0.2739,0.2519,2,448.8327
25,1,25001,82,2.2795,3.0262,2.2461,2.4196,2.4941,0.0072,2.9202,105.9652,0.2738,0.2459,3,447.0847
26,1,26001,82,2.2133,3.0212,2.1857,2.4029,2.4852,0.0052,2.9099,106.3203,0.2725,0.2433,3,446.6288
27,1,27001,82,2.2359,3.0017,2.2059,2.4056,2.4867,0.0023,2.8982,104.3875,0.2742,0.2461,2,446.7367
28,1,28001,82,2.2709,3.0321,2.2387,2.4185,2.494,0.0184,2.9272,104.3158,0.2722,0.2435,3,447.0847
29,1,29001,82,2.2557,3.0758,2.2229,2.4145,2.4908,0.0198,2.9589,102.6728,0.272,0.2423,3,446.9366
30,1,30001,82,2.2256,2.999,2.1935,2.4022,2.4847,0.0001,2.8949,104.84,0.2747,0.2462,2,446.6887
31,1,31001,82,2.2345,3.0028,2.2035,2.4017,2.4834,0.0019,2.8991,104.6738,0.275,0.2469,2,447.0268
32,1,32001,82,2.2746,3.0078,2.2403,2.4186,2.493,0.0268,2.9064,104.4604,0.2738,0.2455,3,447.0847
33,1,33001,82,2.2761,3.0319,2.2429,2.4148,2.4897,0.0091,2.923,105.4937,0.2748,0.2484,2,447.174
34,1,34001,2,2.2011,3.0131,2.1727,2.4002,2.483,0.0185,2.9025,108.5036,0.2749,0.2517,2,447.1148
35,1,35001,82,2.2259,3.0132,2.1964,2.4048,2.4857,0.0527,2.9031,106.9892,0.2744,0.2485,2,446.7296
36,1,36001,82,2.2171,2.9899,2.1889,2.3997,2.482,0.014,2.8902,106.771,0.2733,0.2476,2,447.0152
37,1,37001,82,2.2284,2.9915,2.1973,2.4049,2.4856,0.0088,2.8934,105.7346,0.2715,0.244,3,446.6491
38,1,38001,82,2.2285,2.9805,2.1968,2.3978,2.4807,0.004,2.8844,104.2834,0.2747,0.2483,2,447.2476
39,1,39001,82,2.2047,2.9875,2.1735,2.3998,2.4842,0.0073,2.8897,106.667,0.2745,0.2484,2,446.4973
40,1,40001,82,2.2109,2.9874,2.1831,2.3991,2.4819,0.0139,2.8883,105.8825,0.273,0.2453,3,447.152
41,1,41001,82,2.2052,2.9842,2.176,2.3976,2.4812,0.0114,2.8873,105.3014,0.2729,0.2456,3,447.0441
42,1,42001,82,2.2084,2.9855,2.1771,2.3978,2.4812,0.0095,2.8874,106.6068,0.2743,0.2492,2,447.1093
42,2,42002,82,2.2115,2.9888,2.1821,2.4004,2.4835,0.001,2.8898,106.3867,0.275,0.2489,2,446.829
41,2,41002,82,2.2077,2.9891,2.1796,2.3993,2.4825,0.0439,2.8905,105.5623,0.2723,0.2459,3,446.9729
40,2,40002,82,2.2252,2.9929,2.1968,2.4052,2.4864,0.0151,2.8937,105.5118,0.2735,0.2447,3,446.5507
39,2,39002,82,2.2083,2.9904,2.1808,2.4016,2.4851,0.0175,2.8916,106.5958,0.2751,0.2494,2,446.532
38,2,38002,82,2.2143,2.9801,2.1843,2.3932,2.4774,0.0109,2.8832,103.7223,0.2732,0.2469,2,447.8331
37,2,37002,82,2.2291,2.9925,2.1974,2.4062,2.4873,0.0101,2.8942,105.0064,0.2729,0.244,3,446.3774
36,2,36002,82,2.216,2.985,2.186,2.3988,2.4811,0.0014,2.8859,106.3047,0.2749,0.2487,2,447.2019
35,2,35002,82,2.2278,3.0112,2.199,2.4039,2.4845,0.0148,2.9016,105.7347,0.2743,0.2473,2,446.7988
34,2,34002,82,2.2358,2.9671,2.2053,2.3903,2.4722,0.028,2.8679,104.0397,0.2739,0.2513,2,448.7989
33,2,33002,82,2.1547,3.0324,2.1133,2.4143,2.4903,0.032,2.9243,106.3864,0.276,0.252,1,447.0002
32,2,32002,82,2.2732,3.0118,2.2387,2.4183,2.4928,0.0784,2.9094,104.9565,0.2746,0.2481,2,446.3066
31,2,31002,82,2.245,3.0019,2.2133,2.4064,2.487,0.0015,2.8988,103.7195,0.2751,0.2458,2,446.6883
30,2,30002,82,2.2125,2.9988,2.1838,2.3995,2.483,0.0109,2.8958,104.408,0.2739,0.2448,3,446.7091
29,2,29002,82,2.259,3.0747,2.2252,2.4148,2.4909,0.0065,2.9581,102.8141,0.2716,0.2433,3,446.8142
28,2,28002,82,2.2049,2.9909,2.1728,2.3982,2.4832,0.0174,2.8907,104.5744,0.2741,0.2451,3,446.2183
27,2,27002,82,2.2264,3.0048,2.1962,2.3999,2.4822,0.0293,2.9001,104.6286,0.2727,0.2458,3,447.055
26,2,26002,82,2.2089,3.0183,2.1802,2.3989,2.4807,0.0524,2.9054,106.8387,0.2738,0.2486,2,447.5217
25,2,25002,82,2.2807,3.026,2.2481,2.4198,2.4942,0.0036,2.9206,105.9679,0.2741,0.247,2,447.0847
24,2,24002,82,2.259,3.1948,2.2203,2.4115,2.4889,0.0672,3.0492,107.8055,0.2748,0.25,2,447.4855
23,2,23002,82,2.2001,3.0156,2.1697,2.4036,2.4851,0.0175,2.9049,106.5881,0.2735,0.248,2,446.7421
22,2,22002,82,2.2192,2.9777,2.1895,2.3938,2.478,0.0105,2.8821,104.8744,0.2752,0.2495,2,447.6058
21,2,21002,82,2.2238,2.9842,2.1927,2.4006,2.4818,0.0129,2.8861,105.8517,0.2734,0.2468,2,447.3106
20,2,20002,82,2.2327,2.9969,2.2006,2.4078,2.4883,0.0109,2.8967,105.272,0.273,0.243,3,447.0847
19,2,19002,82,2.2328,2.9798,2.2011,2.4007,2.4832,0.0126,2.8855,104.1994,0.274,0.2476,2,446.9925
18,2,18002,82,2.2156,2.987,2.1862,2.3998,2.4827,0.0062,2.8888,105.9655,0.274,0.2461,3,446.8066
17,2,17002,82,2.2183,2.9877,2.1912,2.4005,2.483,0.0106,2.8901,106.1006,0.2734,0.2472,2,446.798
16,2,16002,82,2.2083,2.9869,2.1785,2.398,2.4816,0.0105,2.8883,105.69,0.2735,0.2456,3,446.9093
15,2,15002,82,2.2195,2.9854,2.1884,2.4,2.4826,0.0095,2.8883,105.4123,0.2733,0.2455,3,446.9206
14,2,14002,82,2.2108,2.9845,2.1813,2.3977,2.4805,0.0022,2.8861,104.9379,0.2727,0.2456,3,447.3493
13,2,13002,82,2.2128,2.9865,2.184,2.4016,2.4848,0.0463,2.8893,106.3575,0.2745,0.248,2,446.4038
12,2,12002,82,2.2196,2.9807,2.1886,2.3982,2.4821,0.0173,2.8843,103.1217,0.2746,0.2487,2,447.0756
11,2,11002,82,2.2273,2.989,2.1984,2.4035,2.4845,0.0247,2.8904,106.2102,0.2737,0.2468,2,446.9584
10,2,10002,82,2.2273,2.9889,2.1987,2.4014,2.4834,0.0148,2.8909,104.6176,0.2731,0.2453,3,446.8828
9,2,9002,82,2.2267,3.0138,2.1945,2.3995,2.48,0.0012,2.9015,105.6915,0.2758,0.2514,2,447.7146
8,2,8002,82,2.2148,3.0091,2.1838,2.3967,2.4776,0.0032,2.8982,106.204,0.2764,0.2527,1,447.3732
7,2,7002,82,2.237,3.2319,2.1976,2.4143,2.4935,0.0313,3.0796,105.9247,0.2768,0.2505,2,446.8183
6,2,6002,82,2.2762,3.0156,2.2413,2.418,2.4923,0.1263,2.9119,103.7641,0.2749,0.2479,2,446.4861
5,2,5002,82,2.2264,3.0147,2.1951,2.4056,2.486,0.0039,2.9044,106.0746,0.2744,0.2474,2,446.8297
4,2,4002,82,2.2349,3.0043,2.2037,2.4022,2.4838,0.0015,2.899,104.8532,0.2753,0.2495,2,446.9284
3,2,3002,82,2.2737,3.0039,2.2399,2.4192,2.4936,0.006,2.9043,104.3065,0.273,0.2463,3,447.0847
2,2,2002,82,2.2608,3.0759,2.225,2.4164,2.4926,0.0085,2.958,102.729,0.2733,0.2458,3,446.5958
1,2,1002,82,2.2222,3.0005,2.1928,2.4018,2.484,0.0132,2.8964,104.9955,0.2757,0.2492,2,446.8112
0,2,2,82,2.2294,2.9997,2.1981,2.4037,2.4855,0.0117,2.8959,103.1043,0.2733,0.2458,3,446.6112
