AA-A1-A1-01
AA-A1-A1-01
X,Y,COMP,B,F1-1,F1-2,F1-3,F2,F3,IR,F4,IV,W1,W2,C,W
37,1,37001,3,2.2715,3.0208,2.2407,2.4165,2.491,0.0243,2.9136,109.0534,0.2728,0.2464,3,447.6585
38,1,38001,3,2.254,3.0213,2.2228,2.4152,2.4896,0.019,2.9147,109.021,0.2725,0.2458,3,447.0127
39,1,39001,3,2.2773,3.0241,2.2449,2.4179,2.4916,0.0162,2.9163,108.8718,0.2731,0.2451,3,446.9037
40,1,40001,82,2.2465,3.0223,2.2163,2.4185,2.493,0.0084,2.9179,107.7129,0.2718,0.2435,3,446.7232
41,1,41001,3,2.2684,3.0217,2.2358,2.4204,2.4947,0.0426,2.9162,108.7129,0.2727,0.2437,3,446.6902
42,1,42001,82,2.2609,3.0391,2.2269,2.4183,2.4932,0.1782,2.9307,107.1133,0.2729,0.2446,3,446.6601
43,1,43001,82,2.2293,3.0035,2.1949,2.4062,2.4826,0.0371,2.9041,107.3167,0.2724,0.2479,2,448.594
44,1,44001,2,2.2674,3.0181,2.2369,2.4132,2.4871,0.0225,2.9119,109.6123,0.2734,0.2488,2,447.472
44,2,44002,3,2.2645,3.0194,2.2312,2.4137,2.4876,0.0054,2.9123,108.7387,0.2703,0.243,3,447.4797
43,2,43002,2,2.2366,3.0041,2.1982,2.4052,2.4814,0.0039,2.9038,108.2202,0.2714,0.2486,2,448.8738
42,2,42002,82,2.2452,3.0398,2.2096,2.4186,2.4937,0.0124,2.931,107.3562,0.2716,0.2426,3,446.589
41,2,41002,3,2.2769,3.022,2.2449,2.4211,2.4951,0.023,2.9168,109.3765,0.2713,0.2427,3,446.78
40,2,40002,3,2.278,3.0228,2.2463,2.4196,2.4934,0.0162,2.9177,108.3884,0.2721,0.244,3,446.6845
39,2,39002,3,2.2744,3.0244,2.2415,2.4182,2.4925,0.0017,2.9169,109.0735,0.2712,0.2425,3,446.738
38,2,38002,3,2.2756,3.0171,2.2441,2.4125,2.4863,0.038,2.9102,109.5384,0.2728,0.2457,3,447.6685
37,2,37002,3,2.2657,3.0189,2.2322,2.4168,2.4916,0.0031,2.9136,109.2432,0.2718,0.2441,3,447.3566
36,2,36002,3,2.2624,3.0193,2.231,2.4182,2.4929,0.038,2.9144,109.1938,0.2726,0.2445,3,447.1312
35,2,35002,3,2.2476,3.0206,2.2135,2.4137,2.4887,0.0167,2.9139,108.7527,0.272,0.2436,3,447.6292
34,2,34002,3,2.2692,3.0233,2.2354,2.4167,2.4912,0.0064,2.9167,109.2089,0.2715,0.2434,3,447.0853
33,2,33002,4,2.272,3.0201,2.2399,2.4199,2.4943,0.0109,2.9153,108.4654,0.2711,0.2412,4,446.8054
32,2,32002,82,2.2753,3.0219,2.2455,2.42,2.4939,0.057,2.917,107.9968,0.2724,0.2431,3,446.4234
31,2,31002,3,2.2765,3.0219,2.2438,2.4154,2.4893,0.028,2.9146,109.5265,0.2724,0.2437,3,447.2213
30,2,30002,3,2.2807,3.0235,2.2484,2.4174,2.4912,0.0054,2.9162,109.2717,0.2722,0.2428,3,446.7547
29,2,29002,82,2.2276,3.0026,2.1915,2.4038,2.4802,0.0237,2.9023,107.4315,0.2709,0.2449,3,448.9674
28,2,28002,82,2.2652,3.033,2.2309,2.4162,2.4911,0.0204,2.926,106.9804,0.2691,0.2386,4,446.8731
27,2,27002,3,2.2603,3.0396,2.2274,2.4191,2.4939,0.0061,2.9298,110.6733,0.2719,0.2437,3,447.0004
26,2,26002,3,2.2582,3.0379,2.2254,2.4182,2.4932,0.1234,2.9283,110.0712,0.272,0.2428,3,447.1319
25,2,25002,3,2.25,3.028,2.212,2.4147,2.4901,0.0007,2.9216,108.0454,0.2717,0.2439,3,446.875
24,2,24002,82,2.2532,3.0112,2.2161,2.415,2.4916,0.0425,2.9121,107.7962,0.2734,0.2459,3,446.8714
23,2,23002,3,2.2803,3.0266,2.249,2.418,2.4917,0.0133,2.9182,109.528,0.2733,0.246,3,446.5786
22,2,22002,3,2.2586,3.0232,2.2259,2.4152,2.4899,0.0291,2.9154,109.1813,0.2722,0.2447,3,447.2799
21,2,21002,82,2.2678,3.0232,2.2345,2.4203,2.4948,0.0035,2.9199,107.9317,0.2701,0.2409,4,446.8124
20,2,20002,3,2.2646,3.0214,2.2325,2.4199,2.4944,0.0194,2.9153,109.6368,0.2734,0.2458,3,446.9938
19,2,19002,3,2.2631,3.0249,2.2292,2.4157,2.4901,0.0967,2.916,109.9137,0.2725,0.2457,3,447.4044
18,2,18002,3,2.2604,3.021,2.2258,2.4151,2.4897,0.0095,2.9145,109.4831,0.272,0.2451,3,447.6118
17,2,17002,3,2.2699,3.0223,2.2357,2.4185,2.4931,0.0094,2.9159,109.2314,0.2735,0.2446,3,447.2252
16,2,16002,2,2.2691,3.0204,2.2354,2.4154,2.49,0.0085,2.9138,109.798,0.2732,0.2472,2,447.7908
